5000 35000
submit 1059 8357
submit 47 1549
submit 2385 7109
submit 801 2332
submit 706 3910
submit 1291 4250
submit 560 5241
submit 1489 2467
submit 1617 3756
submit 2478 7386
submit 756 1270
submit 2089 2511
submit 986 6862
submit 1292 9641
submit 2283 3739
submit 41 5784
submit 2116 5855
submit 1513 8479
submit 1948 5341
submit 1065 1093
submit 612 5040
submit 2078 7436
submit 1749 6838
submit 1357 5424
submit 483 4078
submit 2467 2551
submit 1055 1861
submit 1369 3794
submit 605 8117
submit 749 8421
submit 299 1668
submit 752 4301
submit 1436 983
submit 30 9573
submit 498 9693
submit 2440 5512
submit 1218 3695
submit 1073 9951
submit 1103 3158
submit 223 6538
submit 2281 9580
submit 1774 4652
submit 2301 4357
submit 1303 3248
submit 1135 7520
submit 224 5859
submit 96 8708
submit 2392 7635
submit 2266 2446
submit 407 6407
submit 1638 5732
submit 1711 803
submit 364 4717
submit 362 1639
submit 2150 7002
submit 2014 8907
submit 1516 1498
submit 1038 1874
submit 1379 6007
submit 2125 451
submit 532 8927
submit 1883 5035
submit 462 5646
submit 1056 4252
submit 511 8003
submit 5 5188
submit 1218 4188
submit 187 191
submit 28 4987
submit 1243 7132
submit 153 2797
submit 1527 8953
submit 1356 9845
submit 1453 2200
submit 560 2509
submit 961 4342
submit 115 8166
submit 1952 7697
submit 757 3300
submit 971 1785
submit 1700 4608
submit 604 1951
submit 1137 4438
submit 978 941
submit 1716 8690
submit 2269 2186
submit 1537 3570
submit 855 737
submit 2110 2013
submit 1319 8030
submit 1195 6408
submit 25 840
submit 1226 2226
submit 96 3347
submit 1441 2428
submit 1097 4717
submit 63 2068
submit 301 2282
submit 40 2282
submit 878 2520
submit 1987 9578
submit 611 1572
submit 2245 846
submit 834 9101
submit 632 1832
submit 264 5258
submit 836 5985
submit 514 5143
submit 2365 6790
submit 2033 4035
submit 685 5375
submit 2273 3179
submit 898 4992
submit 2208 3522
submit 1255 5142
submit 642 9284
submit 1919 6026
submit 1784 547
submit 724 2206
submit 486 3149
submit 196 5527
submit 1239 2263
submit 2313 8813
submit 838 7798
submit 2075 6784
submit 1911 9995
submit 477 6496
submit 1317 7385
submit 526 1957
submit 1433 2833
submit 465 9558
submit 1387 1699
submit 2424 307
submit 38 4274
submit 326 5099
submit 1189 5193
submit 559 75
submit 1858 8459
submit 292 9243
submit 865 9795
submit 173 5545
submit 546 8720
submit 2124 5795
submit 1367 9011
submit 1033 3194
submit 492 2011
submit 1894 3047
submit 2406 843
submit 2133 5076
submit 413 2360
submit 878 5218
submit 750 8405
submit 1776 2969
submit 1625 7943
submit 496 4634
submit 770 2732
submit 786 9622
submit 242 7156
submit 156 2115
submit 1278 2345
submit 479 1635
submit 1720 8119
submit 2430 7063
submit 1949 8216
submit 516 5088
submit 1207 2621
submit 1523 4390
submit 235 9785
submit 2164 9409
submit 373 5828
submit 1257 3977
submit 1799 7211
submit 1175 9200
submit 952 2622
submit 1822 4037
submit 818 2642
submit 1150 653
submit 1108 4211
submit 162 3461
submit 1230 6798
submit 569 527
submit 1254 1626
submit 1101 4950
submit 1323 5798
submit 1832 1795
submit 2029 8464
submit 2176 2587
submit 1980 5999
submit 1739 1465
submit 514 6963
submit 1366 8504
submit 2416 9282
submit 465 4776
submit 1684 9163
submit 2371 5895
submit 759 5920
submit 1861 3680
submit 1430 137
submit 2112 6476
submit 400 6807
submit 2395 2363
submit 193 6420
submit 1333 6166
submit 1786 9936
submit 1803 8085
submit 2101 3434
submit 179 8980
submit 1025 3873
submit 2139 134
submit 211 7552
submit 2355 642
submit 450 3772
submit 282 8772
submit 1062 5430
submit 1924 7772
submit 180 5749
submit 1917 2221
submit 1653 4091
submit 545 6600
submit 1057 3144
submit 1687 8904
submit 1861 1493
submit 1625 8733
submit 788 6115
submit 2376 8087
submit 1720 4338
submit 2365 8573
submit 970 9059
submit 2073 3957
submit 1564 4329
submit 1636 3250
submit 1730 7729
submit 2199 660
submit 1656 3056
submit 166 7399
submit 674 6267
submit 1717 24
submit 748 574
submit 2228 8930
submit 475 996
submit 1315 5126
submit 192 2886
submit 2397 5008
submit 2095 3295
submit 2204 4968
submit 1370 7721
submit 1170 9838
submit 1134 8577
submit 431 9196
submit 1190 6171
submit 2487 5619
submit 2431 4917
submit 536 7075
submit 738 7121
submit 1263 3948
submit 2034 5557
submit 1900 1243
submit 1453 1174
submit 1945 5727
submit 685 2148
submit 1465 9711
submit 258 3762
submit 1722 9949
submit 853 9188
submit 292 2334
submit 2096 1970
submit 205 1874
submit 2445 5203
submit 40 1982
submit 14 9098
submit 691 1777
submit 2394 3448
submit 1554 7248
submit 746 7072
submit 880 801
submit 1975 4003
submit 2136 7985
submit 1435 5542
submit 99 3458
submit 1481 6037
submit 19 3519
submit 51 7136
submit 428 5521
submit 531 9908
submit 1291 6011
submit 2244 7191
submit 2449 4522
submit 1525 2004
submit 1051 2457
submit 2439 6514
submit 1105 6911
submit 913 8456
submit 227 1662
submit 709 8875
submit 1825 6575
submit 1399 2169
submit 2475 9431
submit 1757 2752
submit 2209 6547
submit 71 8119
submit 2418 583
submit 1921 9050
submit 2217 1041
submit 592 2027
submit 1224 2949
submit 1229 4229
submit 1537 5120
submit 294 2061
submit 2272 3981
submit 558 5738
submit 1967 1345
submit 1989 7128
submit 1993 1252
submit 11 3826
submit 360 7635
submit 2369 1914
submit 951 589
submit 1495 6906
submit 1220 3
submit 193 7907
submit 2189 71
submit 1956 648
submit 1877 1402
submit 2326 2231
submit 41 3244
submit 1985 6594
submit 1994 8695
submit 2478 2337
submit 1958 1888
submit 347 4045
submit 189 4149
submit 856 7097
submit 685 6845
submit 14 6353
submit 272 6571
submit 230 4815
submit 2293 8289
submit 757 2889
submit 376 6397
submit 432 4154
submit 2159 1768
submit 887 3723
submit 2443 7026
submit 880 6652
submit 2471 6090
submit 682 9131
submit 1188 9734
submit 1236 178
submit 130 3832
submit 1026 2233
submit 662 7801
submit 1890 7260
submit 1328 2393
submit 1035 2882
submit 2018 4794
submit 1886 2031
submit 1200 1331
submit 1155 1693
submit 675 9019
submit 922 1453
submit 922 9168
submit 1380 619
submit 656 8753
submit 1673 6478
submit 591 8033
submit 1310 2440
submit 2469 3374
submit 2031 4704
submit 997 1168
submit 664 264
submit 2 3470
submit 2477 5359
submit 706 6474
submit 705 722
submit 39 1792
submit 2323 7567
submit 162 3838
submit 1063 8445
submit 499 3085
submit 17 9964
submit 792 2813
submit 1906 7817
submit 520 8428
submit 515 8680
submit 864 6957
submit 660 3886
submit 1956 5990
submit 665 3195
submit 474 4269
submit 1996 3493
submit 112 5033
submit 1128 1048
submit 1353 9052
submit 1701 471
submit 1207 9934
submit 1380 1455
submit 801 6234
submit 2221 9196
submit 1312 2118
submit 629 7288
submit 362 5980
submit 654 7376
submit 527 5393
submit 1359 4868
submit 22 4059
submit 1137 2825
submit 762 1760
submit 872 6410
submit 2334 4108
submit 454 5979
submit 130 6384
submit 765 3929
submit 2022 9456
submit 1104 2198
submit 1283 2270
submit 56 5394
submit 477 1234
submit 62 3212
submit 843 4563
submit 430 6244
submit 670 474
submit 2012 502
submit 529 3341
submit 1326 653
submit 2413 4809
submit 132 670
submit 1157 8221
submit 1629 7483
submit 1365 3741
submit 2344 325
submit 2332 4502
submit 1717 9569
submit 2447 2677
submit 52 796
submit 176 6041
submit 2176 2822
submit 264 3174
submit 22 8006
submit 2087 4103
submit 1312 8058
submit 1863 9562
submit 1762 5325
submit 1830 9396
submit 1194 9747
submit 1878 9233
submit 389 1950
submit 809 2610
submit 1139 8486
submit 684 4503
submit 2144 5844
submit 334 916
submit 230 9886
submit 2117 1397
submit 1164 305
submit 1084 9732
submit 788 4202
submit 2044 4499
submit 1487 941
submit 169 7301
submit 772 6679
submit 476 5619
submit 2237 3208
submit 1788 9682
submit 2217 4817
submit 353 5805
submit 938 9027
submit 2242 8208
submit 1448 5114
submit 2475 1206
submit 247 7208
submit 2392 1553
submit 841 2570
submit 2413 5562
submit 1659 2433
submit 1837 4918
submit 18 94
submit 2015 2154
submit 1184 8891
submit 2126 4554
submit 1218 6569
submit 2186 9548
submit 1921 5634
submit 2191 5027
submit 979 3658
submit 670 397
submit 1847 9451
submit 837 7910
submit 1515 5291
submit 1541 148
submit 2188 9024
submit 1985 109
submit 463 4503
submit 1480 6640
submit 628 4118
submit 443 3407
submit 912 8476
submit 1341 308
submit 1618 4909
submit 1309 5257
submit 814 5336
submit 2217 4338
submit 1817 776
submit 2281 4340
submit 984 9923
submit 222 4550
submit 648 9952
submit 135 1186
submit 1082 6245
submit 1804 5573
submit 154 7944
submit 1238 9675
submit 306 9963
submit 41 8649
submit 1956 5387
submit 113 8467
submit 404 5753
submit 2129 6105
submit 2018 6449
submit 2446 7210
submit 2125 3806
submit 2420 433
submit 82 8645
submit 2314 6375
